Город;Метро;ID;X;Y
 Москва;Авиамоторная;12816;37.716612;55.751432
 Москва;Автозаводская;141887;37.657008;55.706629
 Москва;Академическая;126917;37.573447;55.687761
 Москва;Александровский сад;168611;37.609308;55.752075
 Москва;Алексеевская;58520;37.638737;55.8078
 Москва;Алма-Атинская;38733;37.765678;55.63349
 Москва;Алтуфьево;23291;37.587344;55.898376
 Москва;Аннино;88316;37.596812;55.583657
 Москва;Арбатская;214842;37.603316;55.752333
 Москва;Арбатская;231634;37.603316;55.752333
 Москва;Аэропорт;160048;37.53287;55.800261
 Москва;Бабушкинская;62051;37.664581;55.869804
 Москва;Багратионовская;21137;37.497863;55.743801
 Москва;Баррикадная;18273;37.58128;55.760818
 Москва;Бауманская;34116;37.679035;55.772406
 Москва;Беговая;45139;37.545581;55.773469
 Москва;Белорусская;162043;37.586212;55.777155
 Москва;Белорусская;20558;37.586212;55.777155
 Москва;Беляево;214827;37.526115;55.642357
 Москва;Бибирево;54393;37.603011;55.883868
 Москва;Библиотека имени Ленина;99913;37.609829;55.751001
 Москва;Битцевский парк;140460;37.555328;55.601188
 Москва;Борисово;193512;37.743813;55.633582
 Москва;Боровицкая;160783;37.609254;55.750454
 Москва;Ботанический сад;208718;37.637775;55.843965
 Москва;Братиславская;40895;37.750451;55.659404
 Москва;Бульвар Адмирала Ушакова;222471;37.543219;55.545406
 Москва;Бульвар Дмитрия Донского;112692;37.577346;55.569667
 Москва;Бульвар Рокоссовского;112951;37.735117;55.814264
 Москва;Бунинская Аллея;239119;37.515919;55.537964
 Москва;Варшавская;51128;37.619522;55.653294
 Москва;ВДНХ;104893;37.641135;55.821047
 Москва;Владыкино;221585;37.590282;55.847922
 Москва;Водный стадион;223342;37.486724;55.839835
 Москва;Войковская;57945;37.497791;55.818923
 Москва;Волгоградский проспект;215167;37.687102;55.7249
 Москва;Волжская;77755;37.753344;55.690765
 Москва;Волоколамская;140065;37.382034;55.835508
 Москва;Воробьёвы горы;34871;37.559317;55.710438
