Застройщик;Город;Количество объектов;Объем строительства, m2;Рейтинг РАСК
ООО Мир; г. Чита;2;13407;Г1
ООО Новый мир плюс; г. Владимир;12;111564;Б1
ООО УКС КЧУС; г. Кирово-Чепецк;4;37328;В2
ООО Кировспецмонтаж; г. Киров;12;146911;Б1
ООО СК СибЛидер; г. Красноярск;7;60842;Б2
ООО УСК Сибиряк; г. Красноярск;13;188190;Г1
ЗАО Строительная фирма Трест-5; г. Омск;4;33492;В1
ООО Фирма Кристина; г. Ростов-на-Дону;4;9789;Б3
ЗАО Краснодарпроектстрой; г. Краснодар;1;10532;Г3
ООО ЮгСпецСтрой; г. Ростов-на-Дону;2;34568;В1
ООО Третий Рим; г. Михайловск;3;13427;Б3
ООО Инстеп; г. Воронеж;10;77345;Б1
ООО Партнерство; г. Серпухов;1;10559;Б3
ОАО ПМК-5; г. Йошкар-Ола;2;7392;Б3
ООО ДОМКОР; г. Набережные Челны;20;225452;Б3
ООО ДСК; г. Ульяновск;5;30522;Б2
ОАО Ипотечная корпорация Чувашской Республики; г. Чебоксары;1;7969;Г1
ООО АСПЭК-Домстрой; г. Ижевск;8;73180;Б2
ООО ИСК Строй-Капитал; г. Владимир;26;55901;В1
ООО СК Легион; г. Челябинск;5;64818;В1
