Название региона;Общая площадь дома, кв.м;Наибольшее количество этажей;Год ввода в эксплуатацию;Последнее изменение анкеты;Дата начала  обслуживания дома;Количество этажей:наибольшее, ед.;Количество этажей:наименьшее, ед.;Количество помещений, в том числе:;Количество помещений, в том числе:жилых, ед.;Количество помещений, в том числе:нежилых, ед.;Общая площадь дома, в том числе, кв.м:;Общая площадь дома, в том числе, кв.м:общая площадь жилых помещений, кв.м;Общая площадь дома, в том числе, кв.м:общая площадь нежилых помещений, кв.м;Общая площадь дома, в том числе, кв.м:общая площадь помещений, входящих в состав общего имущества, кв.м;Общие сведения о земельном участке, на котором расположен многоквартирный дом:площадь земельного участка, входящего в состав общего имущества в многоквартирном доме, кв.м;Общие сведения о земельном участке, на котором расположен многоквартирный дом:площадь парковки в границах земельного участка, кв.м;Элементы благоустройства:детская площадка;Элементы благоустройства:спортивная площадка;Элементы благоустройства:другое;Год постройки;Год ввода дома в эксплуатацию;Серия, тип постройки здания;Тип дома;Способ формирования фонда капитального ремонта;Дом признан аварийным;Количество подъездов, ед.;Количество лифтов, ед.;Класс энергетической эффективности;Дополнительная информация;Кадастровый номер;Анкета дома;Ссылки
Власиха (ЗАТО);6 483.50;9;2000;18.12.2015 в 10:53;01.07.2015;9;9;Не заполнено;Не заполнено;Не заполнено;6 483.50;5 426.00;1 057.50;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2000;2000;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Заозерная, д. 1, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063854/
Власиха (ЗАТО);7 464.00;9;1991;18.12.2015 в 10:54;01.07.2015;9;9;Не заполнено;Не заполнено;Не заполнено;7 464.00;5 795.80;1 668.20;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1991;1991;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;3;3;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Заозерная, д. 2, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063858/
Власиха (ЗАТО);5 940.00;10;1993;18.12.2015 в 10:55;01.07.2015;10;10;Не заполнено;Не заполнено;Не заполнено;5 940.00;4 713.70;1 226.30;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1993;1993;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Заозерная, д. 3, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063861/
Власиха (ЗАТО);5 956.00;10;1992;18.12.2015 в 11:04;01.07.2015;10;10;Не заполнено;Не заполнено;Не заполнено;5 956.00;4 773.80;1 182.20;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1992;1992;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Заозерная, д. 4, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063862/
Власиха (ЗАТО);5 909.00;10;1993;18.12.2015 в 11:10;01.07.2015;10;10;Не заполнено;Не заполнено;Не заполнено;5 909.00;4 713.70;1 123.80;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1993;1993;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Заозерная, д. 5, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063864/
Власиха (ЗАТО);5 843.30;9;1999;18.12.2015 в 11:11;01.07.2015;9;9;Не заполнено;Не заполнено;Не заполнено;5 843.30;5 388.40;454.90;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1999;1999;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;2;2;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Заозерная, д. 6, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063865/
Власиха (ЗАТО);4 149.00;9;1991;18.12.2015 в 11:12;01.07.2015;9;9;Не заполнено;Не заполнено;Не заполнено;4 149.00;3 159.50;989.50;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1991;1991;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;1;1;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Заозерная, д. 7, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063866/
Власиха (ЗАТО);2 615.00;4;1964;18.12.2015 в 11:13;01.07.2015;4;4;Не заполнено;Не заполнено;Не заполнено;2 615.00;2 579.90;35.10;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1964;1964;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;4;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Заозерная, д. 8, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063868/
Власиха (ЗАТО);2 612.00;4;1964;18.12.2015 в 11:14;01.07.2015;4;4;Не заполнено;Не заполнено;Не заполнено;2 612.00;2 579.90;38.20;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1964;1964;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;4;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Заозерная, д. 9, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063899/
Власиха (ЗАТО);2 557.00;4;1964;18.12.2015 в 11:14;01.07.2015;4;4;Не заполнено;Не заполнено;Не заполнено;2 557.00;2 523.80;33.20;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1964;1964;Не заполнено;Многоквартирный дом;На счете регионального оператора;Нет;4;Не заполнено;Не заполнено;Не заполнено;Нет данных;обл. Московская, п. Власиха, ул. Заозерная, д. 10, к. -, стр. -, лит. А;https://www.reformagkh.ru/myhouse/profile/view/9063901/
