paste.UND2...9...ID..sep.......;X|Y|ID
"""Россия, Москва, Калининская линия, метро Авиамоторная"",12816";37.567545|55.744596|45115
"""Россия, Москва, Замоскворецкая линия, метро Автозаводская"",141887";30.321887|59.866269|107383
"""Россия, Москва, Калужско-Рижская линия, метро Академическая"",126917";30.359975|59.944436|193410
"""Россия, Москва, Филёвская линия, метро Александровский сад"",168611";37.620986|55.771616|135657
"""Россия, Москва, Калужско-Рижская линия, метро Алексеевская"",58520";82.976215|55.037969|88577
"""Россия, Москва, Замоскворецкая линия, метро Алма-Атинская"",38733";37.562586|55.794447|153754
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Алтуфьево"",23291";37.483328|55.739519|40112
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Аннино"",88316";30.318779|59.9166|165164
"""Россия, Москва, Арбатско-Покровская линия, метро Арбатская"",214842";37.463772|55.808827|48356
"""Россия, Москва, Арбатско-Покровская линия, метро Арбатская"",231634";37.563907|55.723404|152622
"""Россия, Москва, Замоскворецкая линия, метро Аэропорт"",160048";30.318859|59.956156|53958
"""Россия, Москва, Калужско-Рижская линия, метро Бабушкинская"",62051";49.208732|55.750054|36543
"""Россия, Москва, Филёвская линия, метро Багратионовская"",21137";30.385218|59.924285|124892
"""Россия, Москва, Таганско-Краснопресненская линия, метро Баррикадная"",18273";37.600864|55.595293|53049
"""Россия, Москва, Арбатско-Покровская линия, метро Бауманская"",34116";37.416386|55.741004|106611
"""Россия, Москва, Таганско-Краснопресненская линия, метро Беговая"",45139";37.53287|55.800261|160048
"""Россия, Москва, Кольцевая линия, метро Белорусская"",162043";37.605274|55.662379|225509
"""Россия, Москва, Кольцевая линия, метро Белорусская"",20558";37.749265|55.788424|74445
"""Россия, Москва, Калужско-Рижская линия, метро Беляево"",214827";30.483359|59.907437|95754
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Бибирево"",54393";37.700568|55.736148|216510
"""Россия, Москва, Сокольническая линия, метро Библиотека имени Ленина"",99913";37.78138|55.787746|153922
"""Россия, Москва, Бутовская линия, метро Битцевский парк"",140460";30.441812|59.877253|94872
"""Россия, Москва, Люблинско-Дмитровская линия, метро Борисово"",193512";37.574507|55.818695|196902
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Боровицкая"",160783";37.887166|55.708572|94218
"""Россия, Москва, Калужско-Рижская линия, метро Ботанический сад"",208718";37.446874|55.730877|208751
"""Россия, Москва, Люблинско-Дмитровская линия, метро Братиславская"",40895";49.098096|55.817466|17162
"""Россия, Москва, Бутовская линия, метро Бульвар Адмирала Ушакова"",222471";30.319839|59.926575|110660
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Бульвар Дмитрия Донского"",112692";37.717905|55.610697|31365
"""Россия, Москва, Сокольническая линия, метро Бульвар Рокоссовского"",112951";37.663827|55.678407|68558
"""Россия, Москва, Бутовская линия, метро Бунинская Аллея"",239119";60.61218|56.878517|221590
"""Россия, Москва, Каховская линия, метро Варшавская"",51128";37.638952|55.729797|147744
"""Россия, Москва, Калужско-Рижская линия, метро ВДНХ"",104893";37.664581|55.869804|62051
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Владыкино"",221585";30.358026|59.895971|117217
"""Россия, Москва, Замоскворецкая линия, метро Водный стадион"",223342";37.614698|55.781499|10274
"""Россия, Москва, Замоскворецкая линия, метро Войковская"",57945";37.595061|55.736077|93351
"""Россия, Москва, Таганско-Краснопресненская линия, метро Волгоградский проспект"",215167";37.612766|55.731257|40729
"""Россия, Москва, Люблинско-Дмитровская линия, метро Волжская"",77755";37.526115|55.642357|214827
"""Россия, Москва, Арбатско-Покровская линия, метро Волоколамская"",140065";37.561059|55.764455|139113
"""Россия, Москва, Сокольническая линия, метро Воробьёвы горы"",34871";37.693408|55.613051|20766
"""Россия, Москва, Филёвская линия, метро Выставочная"",30888";37.604538|55.612614|166354
"""Россия, Москва, Таганско-Краснопресненская линия, метро Выхино"",25625";37.607799|55.718821|103054
"""Россия, Москва, Калининская линия, метро Деловой центр"",172080";37.664698|55.732829|20836
"""Россия, Москва, Калининская линия, метро Деловой центр"",218876";37.562874|55.67793|209241
"""Россия, Москва, Замоскворецкая линия, метро Динамо"",95284";30.329864|59.920614|12690
"""Россия, Москва, Серпуховско-Тимирязевская линия, метро Дмитровская"",125165";37.408139|55.756842|78546
"""Россия, Москва, Кольцевая линия, метро Добрынинская"",148755";37.472378|55.64574|147919
"""Россия, Москва, Замоскворецкая линия, метро Домодедовская"",31365";60.599406|56.847818|125700
"""Россия, Москва, Люблинско-Дмитровская линия, метро Достоевская"",10274";60.603754|56.826715|156665
"""Россия, Москва, Люблинско-Дмитровская линия, метро Дубровка"",215572";37.609047|55.622436|199588
"""Россия, Москва, Таганско-Краснопресненская линия, метро Жулебино"",88930";37.603487|55.745068|23602
"""Россия, Москва, Люблинско-Дмитровская линия, метро Зябликово"",92972";43.894784|56.33329|27404
"""Россия, Москва, Арбатско-Покровская линия, метро Измайловская"",153922";37.543021|55.749547|30888
"""Россия, Москва, Калужско-Рижская линия, метро Калужская"",115463";30.275004|59.901111|101569
