"estate_object_name";"construction_adress"
"ЖК ""Татьянин парк""";"Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 2, 3 (кадастровый номер земельного участка 50:21:0110502:644)"
"ЖК ""Ново-Никольское"" (в рамках ВИ д.2-14,16-28,96-105,108,109;тауны 29-46,106,107)";"п. Первомайское, вблизи д. Ивановское, уч.1/1, ГП №6"
"Некрасовка Парк";"ЮВАО, район Некрасовка, квартал 7, корпус 3, секция 2, квартира № 128"
"ЖК ""Garden Park Эдальго""";"г. Москва, НАО, поселение Сосенское, Коммунарка пос., участок 282Ю, корпус 2,"
"Некрасовка Парк";"Москва, ЮВАО, район Некрасовка, кв. 7, корп. 6, примерно в 1040 м по направлению на северо-запад от ориентира северно-западная граница"
"Коммунарка 5";"Московская область, Ленинский муниципальный район, сельское поселение Сосенское, пос. Коммунарка, корп. 1"
"ЖК Переделкино Ближнее";"Москва, НАО, дом 3, уч. 13/2, секция 3, проектный номер 168"
"ЖК ""Переделкино Ближнее""";"Москва, НАО, поселение Внуковское, Рассказовка дер., уч. 13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, по СПОЗУ №8, секция 2, этаж 8, проектный номер 91, номер на площадке 3"
"ЖК Переделкино Ближнее";"Москва, НАО, поселение Внуковское, Рассказовка дер.., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки квл6 дом 3"
"ЖК ""Татьянин парк""";"Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 2, 3 (кадастровый номер земельного участка 50:21:0110502:644)"
"Жилой район ""Бунинский""";"НАО,пос.Сосенское,д.Столбово,уч.27,корп.16,усл.№93"
"ЖК ""Переделкино Ближнее""";"НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки"
"ЖК ""Борисоглебское""";"квартира находится на земельном участке с кадастровым номером 50:26:0140503:43 по адресу Москва,п Новофедоровское,д Зверево,дом171,секция В"
"Жилой микрорайон ""Новые Ватутинки""";"Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53, д.81"
"Многоквартирный жилой дом ";"г.Москва, г.Щербинка, местечко Барыши, корп. 11"
"мкрн. ""Солнцево-парк""";"поселение Внуковское, д. Пыхтино, уч. 6/1, корпус 14"
"ЖК ""Новое Бутово""";"нао пос воскресенское дер язово корп 9 кв 45"
"ЖК ""Татьянин парк""";"НАО, поселение Московский, Говорово д., северо-западнее, кор. 6, 7 (кадастровый номер земельного участка 50:21:0110502:647)"
"ЖК ""Новое Бутово""";"г. Москва НАО,  поселение Воскресенское, д. Язово, корп. 10 (в составе  5-й очереди строительства ЖК), секция 1, условный № кв. 4."
"Некрасовка Парк";"Москва, ЮВАО ,район Некрасовка, кв-л.7,корп. 8"
"ЖК Переделкино Ближнее";"НАО, поселение Внуковское, дер. Рассказовка, уч. 13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция 3, этаж 14, проектный номер 180, номер на площадке 4, количество комнат 2 дом 5"
"ЖК ""Татьянин парк""";"г. Москва, поселение Московский, северо-западнее д. Говорово, секция 2"
